table,task,model,field,stat,point,ci_lo,ci_hi,n_groups,n_rows
verification,PegInsertionSide,170m,vision_err,pct_le3,76.5909090909091,72.36519485303792,80.78726743429613,76,440
verification,PegInsertionSide,170m,vision_insertion_auc,median,0.7659163697457995,0.7238871071966899,0.7939568570757225,76,440
verification,PegInsertionSide,170m,vision_deletion_auc,median,0.28626670312805286,0.23302755867983263,0.32064803881128534,76,440
verification,PegInsertionSide,170m,vision_dlogp_k5,median,-0.0016776687698438764,-0.0021974127739667892,-0.0011452656472101808,76,440
verification,PegInsertionSide,170m,lang_insertion_auc,median,0.35254574935058614,0.2666918177885493,0.41792311575881774,76,440
verification,PegInsertionSide,170m,lang_deletion_auc,median,0.25962259124454107,0.21260641581234496,0.32078903138908055,76,440
verification,PegInsertionSide,170m,lang_dlogp_k5,median,-0.003715428290888667,-0.004480410891119391,-0.003006631275638938,76,440
verification,PegInsertionSide_C1,170m,spearman_vision,median,0.9563351891542969,0.9419633694101605,0.9699711636709439,12,71
verification,PegInsertionSide_C1,170m,spearman_language,median,0.9605693580265828,0.9469026548672564,0.9679776525781573,12,71
verification,PegInsertionSide_C1,170m,spearman_state,median,0.7619047619047621,0.6904761904761906,0.8095238095238096,12,71
verification,PegInsertionSide_C2,170m,spearman_vision,median,0.09654684785758824,0.08082160005034547,0.12141783811332814,12,71
verification,PegInsertionSide_C2,170m,spearman_language,median,0.013464127965931277,-0.016544826157338075,0.02519948566422376,12,71
verification,PegInsertionSide_C2,170m,spearman_state,median,0.8095238095238096,0.7857142857142858,0.8452380952380953,12,71
verification,PickCube,170m,vision_err,pct_le3,65.07936507936508,57.77777777777777,72.28475700555029,91,252
verification,PickCube,170m,vision_insertion_auc,median,0.8679260709034347,0.8461042680561692,0.8833023918593573,91,252
verification,PickCube,170m,vision_deletion_auc,median,0.2888566343381301,0.26355913646411805,0.3370651747214688,91,252
verification,PickCube,170m,vision_dlogp_k5,median,-0.004069329937919974,-0.005187618546187878,-0.003104969140258629,91,252
verification,PickCube,170m,lang_insertion_auc,median,0.4943929390882128,0.4255343703565922,0.5518958605675575,91,252
verification,PickCube,170m,lang_deletion_auc,median,0.43838668852582574,0.38178545660403185,0.47914538496862696,91,252
verification,PickCube,170m,lang_dlogp_k5,median,-0.0004293063539080322,-0.0005503749707713723,-0.00036209612153470516,91,252
verification,PickCube_C1,170m,spearman_vision,median,0.946257867724158,0.9387944156696983,0.9560593099024071,21,56
verification,PickCube_C1,170m,spearman_language,median,0.9159301593970894,0.9145653639837757,0.9207762200041701,21,56
verification,PickCube_C1,170m,spearman_state,median,0.7976190476190477,0.7142857142857144,0.8571428571428572,21,56
verification,PickCube_C2,170m,spearman_vision,median,0.14931156102079823,0.14008601031898862,0.1739089364398665,21,56
verification,PickCube_C2,170m,spearman_language,median,0.09892804462718283,0.04625729108323856,0.11514569666727972,21,56
verification,PickCube_C2,170m,spearman_state,median,0.773809523809524,0.6904761904761906,0.8571428571428572,21,56
verification,PickSingleYCB,170m,vision_err,pct_le3,74.63976945244957,70.22411545024308,79.08309455587393,100,347
verification,PickSingleYCB,170m,vision_insertion_auc,median,0.8557094878893163,0.8364495306471403,0.877481812780202,100,347
verification,PickSingleYCB,170m,vision_deletion_auc,median,0.3624558113639572,0.3275774839568347,0.4062944733825386,100,347
verification,PickSingleYCB,170m,vision_dlogp_k5,median,-0.001240644953213632,-0.0016437247395515442,-0.0008942861168179661,100,347
verification,PickSingleYCB,170m,lang_insertion_auc,median,0.3357151723589485,0.22669339466739602,0.4145736712700997,100,347
verification,PickSingleYCB,170m,lang_deletion_auc,median,0.4750404007778868,0.4418036420244811,0.5044987645031156,100,347
verification,PickSingleYCB,170m,lang_dlogp_k5,median,-0.0002856954815797508,-0.0003326450823806226,-0.00022325076861307025,100,347
verification,PickSingleYCB_C1,170m,spearman_vision,median,0.935889999958419,0.9220397023219639,0.9448564233271838,26,85
verification,PickSingleYCB_C1,170m,spearman_language,median,0.9227375566529953,0.9058823529411765,0.9374542640956269,26,85
verification,PickSingleYCB_C1,170m,spearman_state,median,0.7380952380952381,0.6904761904761906,0.7857142857142858,26,85
verification,PickSingleYCB_C2,170m,spearman_vision,median,0.16722726245684424,0.15513174356029605,0.18329517847856666,26,85
verification,PickSingleYCB_C2,170m,spearman_language,median,0.1411764705882353,0.09565325765373345,0.17512881856731494,26,85
verification,PickSingleYCB_C2,170m,spearman_state,median,0.7857142857142858,0.7380952380952381,0.8333333333333335,26,85
verification,StackCube,170m,vision_err,pct_le3,64.28571428571429,57.91139240506329,70.46979865771812,98,308
verification,StackCube,170m,vision_insertion_auc,median,0.8557540334954741,0.8356579814361418,0.8745696635117496,98,308
verification,StackCube,170m,vision_deletion_auc,median,0.33174810184996006,0.27823055625111864,0.3777612266681459,98,308
verification,StackCube,170m,vision_dlogp_k5,median,-0.0040112442802637815,-0.004755872301757336,-0.0028884466737508774,98,308
verification,StackCube,170m,lang_insertion_auc,median,0.29858946709780587,0.2417477796756648,0.3764953299900899,98,308
verification,StackCube,170m,lang_deletion_auc,median,0.5329387342561576,0.4972560133484746,0.5592144038703522,98,308
verification,StackCube,170m,lang_dlogp_k5,median,-0.0013358860742300749,-0.0017547874012961984,-0.0011375066824257374,98,308
verification,StackCube_C1,170m,spearman_vision,median,0.9551872437948791,0.9493624032312216,0.9597606473628363,26,75
verification,StackCube_C1,170m,spearman_language,median,0.9648420115709838,0.9582684412731266,0.967842445070302,26,75
verification,StackCube_C1,170m,spearman_state,median,0.6904761904761906,0.5714285714285715,0.8333333333333335,26,75
verification,StackCube_C2,170m,spearman_vision,median,0.14951151273736155,0.12936021086031324,0.1679740480177743,26,75
verification,StackCube_C2,170m,spearman_language,median,0.2518914170060754,0.23497997329773035,0.2749985066301746,26,75
verification,StackCube_C2,170m,spearman_state,median,0.7857142857142858,0.7142857142857144,0.8333333333333335,26,75
